,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O10,,,,,,,,,,,,,,,,,,,,,,,"17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10"
O09,,,,,,,,,,,,,,,,,,,,,"17,201.40","17,201.40","17,449.80","17,449.80","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10","17,675.10"
O08,"12,170.70","12,170.70","12,570.00","12,834.30","12,908.10","12,908.10","13,238.40","13,238.40","13,789.50","13,789.50","13,918.20","13,918.20","14,441.70","14,441.70","14,592.60","14,592.60","15,043.50","15,043.50","15,696.60","15,696.60","16,298.10","16,298.10","16,700.10","16,700.10","16,700.10","16,700.10","16,700.10","16,700.10","16,700.10","16,700.10","17,118.30","17,118.30","17,118.30","17,118.30","17,545.80","17,545.80","17,545.80","17,545.80","17,545.80","17,545.80","17,545.80"
O07,"10,113.00","10,113.00","10,582.80","10,800.30","10,973.40","10,973.40","11,286.00","11,286.00","11,595.30","11,595.30","11,952.60","11,952.60","12,308.70","12,308.70","12,666.60","12,666.60","13,789.50","13,789.50","14,737.80","14,737.80","14,737.80","14,737.80","14,737.80","14,737.80","14,737.80","14,737.80","14,813.70","14,813.70","14,813.70","14,813.70","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10","15,110.10"
O06,"7,669.20","7,669.20","8,425.20","8,978.10","8,978.10","8,978.10","9,012.60","9,012.60","9,398.70","9,398.70","9,450.00","9,450.00","9,450.00","9,450.00","9,987.00","9,987.00","10,936.20","10,936.20","11,493.60","11,493.60","12,050.40","12,050.40","12,367.50","12,367.50","12,688.80","12,688.80","13,310.70","13,310.70","13,310.70","13,310.70","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50","13,576.50"
O05,"6,393.30","6,393.30","7,202.10","7,700.40","7,794.30","7,794.30","8,105.70","8,105.70","8,291.40","8,291.40","8,700.60","8,700.60","9,001.80","9,001.80","9,389.70","9,389.70","9,982.80","9,982.80","10,265.40","10,265.40","10,544.70","10,544.70","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80","10,861.80"
O04,"5,516.40","5,516.40","6,385.20","6,812.10","6,906.30","6,906.30","7,301.70","7,301.70","7,726.20","7,726.20","8,254.80","8,254.80","8,665.50","8,665.50","8,951.10","8,951.10","9,115.50","9,115.50","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30","9,210.30"
O03,"4,849.80","4,849.80","5,497.80","5,933.40","6,469.80","6,469.80","6,780.30","6,780.30","7,120.50","7,120.50","7,340.10","7,340.10","7,701.60","7,701.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60","7,890.60"
O02,"4,190.70","4,190.70","4,772.70","5,496.90","5,682.60","5,682.60","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30","5,799.30"
O01,"3,637.20","3,637.20","3,786.00","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80","4,576.80"
