years,O10,O09,O08,O07,O06,O05,O04,O03,O02,O01,O03E,O02E,O01E,W05,W04,W03,W02,W01,E09,E08,E07,E06,E05,E04,E03,E02,E01
0,,,"12,170.70","10,113.00","7,669.20","6,393.30","5,516.40","4,849.80","4,190.70","3,637.20","6,469.80","5,682.60","4,576.80",,"5,012.40","4,577.70","4,050.30","3,555.00",,,"3,445.80","2,980.50","2,730.30","2,503.50","2,259.90","2,149.20","1,917.60"
1,,,"12,170.70","10,113.00","7,669.20","6,393.30","5,516.40","4,849.80","4,190.70","3,637.20","6,469.80","5,682.60","4,576.80",,"5,012.40","4,577.70","4,050.30","3,555.00",,,"3,445.80","2,980.50","2,730.30","2,503.50","2,259.90","2,149.20","1,917.60"
2,,,"12,570.00","10,582.80","8,425.20","7,202.10","6,385.20","5,497.80","4,772.70","3,786.00",,,,,"5,391.30","4,767.90","4,433.40","3,938.10",,,"3,760.80","3,279.90","2,914.20","2,631.60","2,402.10","2,149.20","1,917.60"
3,,,"12,834.30","10,800.30","8,978.10","7,700.40","6,812.10","5,933.40","5,496.90","4,576.80",,,,,"5,546.10","4,964.10","4,551.00","4,040.70",,,"3,905.10","3,424.80","3,055.20","2,774.10","2,547.60","2,149.20","1,917.60"
4,,,"12,908.10","10,973.40","8,978.10","7,794.30","6,906.30","6,469.80","5,682.60","4,576.80",,,,,"5,698.20","5,027.70","4,632.30","4,258.20",,,"4,095.30","3,565.50","3,199.20","2,914.80","2,547.60","2,149.20","1,917.60"
5,,,"12,908.10","10,973.40","8,978.10","7,794.30","6,906.30","6,469.80","5,682.60","4,576.80",,,,,"5,698.20","5,027.70","4,632.30","4,258.20",,,"4,095.30","3,565.50","3,199.20","2,914.80","2,547.60","2,149.20","1,917.60"
6,,,"13,238.40","11,286.00","9,012.60","8,105.70","7,301.70","6,780.30","5,799.30","4,576.80","6,780.30","5,799.30","4,887.00",,"5,960.70","5,232.30","4,894.80","4,515.00",,,"4,244.70","3,711.90","3,423.90","3,039.30","2,547.60","2,149.20","1,917.60"
7,,,"13,238.40","11,286.00","9,012.60","8,105.70","7,301.70","6,780.30","5,799.30","4,576.80","6,780.30","5,799.30","4,887.00",,"5,960.70","5,232.30","4,894.80","4,515.00",,,"4,244.70","3,711.90","3,423.90","3,039.30","2,547.60","2,149.20","1,917.60"
8,,,"13,789.50","11,595.30","9,398.70","8,291.40","7,726.20","7,120.50","5,799.30","4,576.80","7,120.50","5,983.80","5,067.90",,"6,220.20","5,635.80","5,302.80","4,893.90",,"4,957.20","4,500.60","4,042.20","3,658.50","3,039.30","2,547.60","2,149.20","1,917.60"
9,,,"13,789.50","11,595.30","9,398.70","8,291.40","7,726.20","7,120.50","5,799.30","4,576.80","7,120.50","5,983.80","5,067.90",,"6,220.20","5,635.80","5,302.80","4,893.90",,"4,957.20","4,500.60","4,042.20","3,658.50","3,039.30","2,547.60","2,149.20","1,917.60"
